doc_id,strategy,strategy_label,run,dimension,verdict,evidence,match_score,is_faithful,comparison_mode,evidence_type
BRAC-Uganda-Audited-Financial-Statements,S1_full,S1 – Full text,0,expense_spike,FLAG,"Training, workshops & seminars 11,340,582 6,550,418",1.0,True,source_text,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S1_full,S1 – Full text,0,passthrough_risk,FLAG,BRAC Uganda partnership with International Labour Organization (ILO) is implementing a one year project,1.0,True,source_text,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S2_sections,S2 – Section filtering,0,revenue_concentration,FLAG,"Reveleratng aa for-Young: Women 24,912,128 6,677,787 6,667,593 ‘1,799,421",1.0,True,source_text,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S2_sections,S2 – Section filtering,0,expense_spike,FLAG,"Training, workshops & seminars 11,340,582 6,550,418 3,035,244 1,765,100",1.0,True,source_text,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S2_sections,S2 – Section filtering,0,passthrough_risk,FLAG,The Company has transferred its rights to receive cash flows from the asset or has assumed an obligation to pay the received cash flows in full without material delay to a third party under a ‘pass-through’ arrangement,1.0,True,source_text,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S3_fields,S3 – Field extraction,0,passthrough_risk,FLAG,a ‘pass-through’ arrangement; and either;,1.0,True,prepared_context,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S4_hybrid,S4 – Hybrid,0,passthrough_risk,FLAG,a ‘pass-through’ arrangement; and either;,1.0,True,prepared_context,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S5_extended,S5 – Extended extraction,0,expense_spike,FLAG,"(11,340,582) (6,550,418) (3,035,244) (1,765,100)",1.0,True,prepared_context,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S5_extended,S5 – Extended extraction,0,passthrough_risk,FLAG,a ‘pass-through’ arrangement; and either;,1.0,True,prepared_context,Verbatim
BRAC-Uganda-Audited-Financial-Statements,S5_extended,S5 – Extended extraction,0,audit_opinion,FLAG,"We have not audited this supplementary information and, accordingly, we do not express an opinion on this supplementary information.",1.0,True,prepared_context,Verbatim
BRAC-Liberia-Audited-Financial-Statements,S1_full,S1 – Full text,0,revenue_concentration,FLAG,"Grant 927,057,037 LRD",0.86,True,source_text,Synthesised
BRAC-Liberia-Audited-Financial-Statements,S1_full,S1 – Full text,0,expense_spike,FLAG,"Staff costs and other benefits 277,059,744 LRD",1.0,True,source_text,Verbatim
BRAC-Liberia-Audited-Financial-Statements,S1_full,S1 – Full text,0,passthrough_risk,FLAG,"The project is implemented by a consortium of four organizations including Research Triangle Institute (RTI), BRAC USA, GiveDirectly and Dimagi, with RTI as the Lead Partner.",1.0,True,source_text,Verbatim
BRAC-Liberia-Audited-Financial-Statements,S2_sections,S2 – Section filtering,0,revenue_concentration,FLAG,"Grant 927,057,037",0.88,True,source_text,Synthesised
BRAC-Liberia-Audited-Financial-Statements,S2_sections,S2 – Section filtering,0,expense_spike,FLAG,"Occupancy expenses 52,671,276 13,439,288",1.0,True,source_text,Verbatim
BRAC-Liberia-Audited-Financial-Statements,S2_sections,S2 – Section filtering,0,passthrough_risk,FLAG,BRAC acts as a fund manager providing incentive,0.88,True,source_text,Synthesised
BRAC-Liberia-Audited-Financial-Statements,S3_fields,S3 – Field extraction,0,revenue_concentration,FLAG,"Revenue from grant received in - 920,198,022",1.0,True,prepared_context,Verbatim
